Time,Temperature,Humidity,Humidity_WeatherStation,Temperature_WeatherStation,Label,Feature Extraction Time (ms),Testing Time (ms),Score
27/07/2022 13:00,36.50,8.83,49.00,18.89,0,0.860,0.238,0.2000
27/07/2022 13:30,36.50,8.83,49.00,18.89,0,0.873,0.218,0.2000
27/07/2022 14:00,33.33,11.67,56.00,17.78,0,0.836,0.226,0.2000
27/07/2022 14:30,33.33,11.83,49.00,18.89,0,0.836,0.218,0.2000
27/07/2022 15:00,33.50,11.17,43.00,20.00,0,0.825,0.226,0.2000
27/07/2022 15:30,26.83,16.33,43.00,20.00,0,0.829,0.218,0.2000
27/07/2022 16:00,22.50,33.50,49.00,20.00,0,0.819,0.226,0.2000
27/07/2022 16:30,20.40,41.60,52.00,18.89,0,0.822,0.218,0.1000
27/07/2022 17:00,19.00,48.00,49.00,18.89,0,0.797,0.218,0.0000
27/07/2022 17:30,17.33,51.33,52.00,18.89,0,0.789,0.210,0.0000
27/07/2022 18:00,16.50,54.00,52.00,18.89,0,0.779,0.218,0.0000
27/07/2022 18:30,15.83,57.17,49.00,18.89,0,0.765,0.214,0.0000
27/07/2022 19:00,18.00,63.67,52.00,17.78,0,0.768,0.218,0.0000
27/07/2022 19:30,18.33,63.17,52.00,17.22,0,0.769,0.206,0.0000
27/07/2022 20:00,17.20,64.60,52.00,17.22,0,0.756,0.217,0.0000
27/07/2022 20:30,14.17,67.17,59.00,16.11,0,0.757,0.210,0.0000
27/07/2022 21:00,13.00,68.83,59.00,16.11,0,0.746,0.222,0.0000
27/07/2022 21:30,13.00,69.83,63.00,15.00,0,0.764,0.210,0.0000
27/07/2022 22:00,12.33,71.17,59.00,15.00,0,0.758,0.226,0.1000
27/07/2022 22:30,13.67,70.00,72.00,12.22,0,0.764,0.217,0.1000
27/07/2022 23:00,13.00,71.00,77.00,12.22,0,0.755,0.226,0.1000
27/07/2022 23:30,11.83,74.67,76.00,11.11,0,0.756,0.223,0.1000
28/07/2022 0:00,11.00,76.00,87.00,10.00,0,0.748,0.233,0.1000
28/07/2022 0:30,11.00,77.00,87.00,10.00,0,0.770,0.214,0.1000
28/07/2022 1:00,11.17,77.17,82.00,11.11,0,0.775,0.222,0.1000
28/07/2022 1:30,11.67,76.17,87.00,10.00,0,0.789,0.217,0.1000
28/07/2022 2:00,11.00,77.83,93.00,8.89,0,0.774,0.278,0.1000
28/07/2022 2:30,12.40,76.80,93.00,8.89,0,0.819,0.214,0.1000
28/07/2022 3:00,12.50,77.17,100.00,7.78,0,0.813,0.236,0.1000
28/07/2022 3:30,12.33,76.17,93.00,8.89,0,0.837,0.217,0.1000
28/07/2022 4:00,13.00,74.33,93.00,7.78,0,0.825,0.229,0.1000
28/07/2022 4:30,13.00,74.00,100.00,7.78,0,0.835,0.221,0.1000
28/07/2022 5:00,14.00,71.83,93.00,7.78,0,0.837,0.229,0.1000
28/07/2022 5:30,14.67,68.00,93.00,8.89,0,0.849,0.218,0.1000
28/07/2022 6:00,15.40,67.20,93.00,8.89,0,0.835,0.229,0.1000
28/07/2022 6:30,16.00,65.33,94.00,10.00,0,0.851,0.217,0.1000
28/07/2022 7:00,19.67,59.00,88.00,11.11,0,0.829,0.231,0.1000
28/07/2022 7:30,20.33,52.17,88.00,12.22,0,0.862,0.217,0.1000
28/07/2022 8:00,19.50,51.50,82.00,12.78,0,0.845,0.230,0.1000
28/07/2022 8:30,20.00,46.33,67.00,15.00,1,0.848,0.205,0.5000
28/07/2022 9:00,21.40,40.60,59.00,16.11,0,0.833,0.202,0.4000
28/07/2022 9:30,22.50,32.50,55.00,17.22,0,0.826,0.194,0.4000
28/07/2022 10:00,25.00,26.83,52.00,17.78,0,0.811,0.202,0.4000
28/07/2022 10:30,26.67,17.33,52.00,17.22,1,0.821,0.202,0.5000
28/07/2022 11:00,38.00,8.67,49.00,17.78,0,0.805,0.233,0.4000
28/07/2022 11:30,32.17,12.33,46.00,18.89,0,0.813,0.209,0.2000
28/07/2022 12:00,36.50,10.00,46.00,18.89,0,0.809,0.225,0.2000
28/07/2022 12:30,40.00,8.20,46.00,18.89,0,0.822,0.217,0.1000
28/07/2022 13:00,38.50,7.50,46.00,20.00,0,0.817,0.229,0.1000
28/07/2022 13:30,39.33,7.33,46.00,18.89,0,0.830,0.218,0.1000
28/07/2022 14:00,39.00,7.40,40.00,21.11,0,0.828,0.234,0.1000
28/07/2022 14:30,39.50,7.33,43.00,21.11,0,0.844,0.222,0.1000
28/07/2022 15:00,42.00,5.50,40.00,21.11,0,0.832,0.234,0.1000
