Time,Temperature,Humidity,Humidity_WeatherStation,Temperature_WeatherStation,Label,Feature Extraction Time (ms),Testing Time (ms),Score
27/07/2022 13:00,36.50,8.83,49.00,18.89,1,0.181,0.069,5.7524
27/07/2022 13:30,36.50,8.83,49.00,18.89,1,0.100,0.030,5.7524
27/07/2022 14:00,33.33,11.67,56.00,17.78,1,0.101,0.030,5.7524
27/07/2022 14:30,33.33,11.83,49.00,18.89,1,0.101,0.029,5.7524
27/07/2022 15:00,33.50,11.17,43.00,20.00,0,0.493,0.029,-110.7147
27/07/2022 15:30,26.83,16.33,43.00,20.00,0,0.386,0.030,-51.3526
27/07/2022 16:00,22.50,33.50,49.00,20.00,0,0.388,0.029,-167.4209
27/07/2022 16:30,20.40,41.60,52.00,18.89,0,0.404,0.030,-157.1250
27/07/2022 17:00,19.00,48.00,49.00,18.89,0,0.403,0.030,-154.1380
27/07/2022 17:30,17.33,51.33,52.00,18.89,0,0.422,0.030,-134.6061
27/07/2022 18:00,16.50,54.00,52.00,18.89,0,0.420,0.029,-122.8679
27/07/2022 18:30,15.83,57.17,49.00,18.89,0,0.427,0.037,-104.3910
27/07/2022 19:00,18.00,63.67,52.00,17.78,0,0.439,0.030,-98.7134
27/07/2022 19:30,18.33,63.17,52.00,17.22,0,0.454,0.030,-90.7532
27/07/2022 20:00,17.20,64.60,52.00,17.22,0,0.462,0.030,-84.2399
27/07/2022 20:30,14.17,67.17,59.00,16.11,0,0.475,0.030,-36.2720
27/07/2022 21:00,13.00,68.83,59.00,16.11,0,0.483,0.029,-33.1848
27/07/2022 21:30,13.00,69.83,63.00,15.00,0,0.495,0.034,-24.7198
27/07/2022 22:00,12.33,71.17,59.00,15.00,0,0.517,0.029,-104.8988
27/07/2022 22:30,13.67,70.00,72.00,12.22,1,0.530,0.029,111.3048
27/07/2022 23:00,13.00,71.00,77.00,12.22,1,0.541,0.029,254.1846
27/07/2022 23:30,11.83,74.67,76.00,11.11,1,0.553,0.030,248.2385
28/07/2022 0:00,11.00,76.00,87.00,10.00,1,0.567,0.030,353.4840
28/07/2022 0:30,11.00,77.00,87.00,10.00,1,0.575,0.030,325.6946
28/07/2022 1:00,11.17,77.17,82.00,11.11,1,0.599,0.030,304.7737
28/07/2022 1:30,11.67,76.17,87.00,10.00,1,0.615,0.030,320.8739
28/07/2022 2:00,11.00,77.83,93.00,8.89,1,0.632,0.029,327.8792
28/07/2022 2:30,12.40,76.80,93.00,8.89,1,0.644,0.030,318.5569
28/07/2022 3:00,12.50,77.17,100.00,7.78,1,0.659,0.030,332.1890
28/07/2022 3:30,12.33,76.17,93.00,8.89,1,0.663,0.038,301.4745
28/07/2022 4:00,13.00,74.33,93.00,7.78,1,0.678,0.030,294.1637
28/07/2022 4:30,13.00,74.00,100.00,7.78,1,0.693,0.042,307.4919
28/07/2022 5:00,14.00,71.83,93.00,7.78,1,0.704,0.029,280.0015
28/07/2022 5:30,14.67,68.00,93.00,8.89,1,0.723,0.030,274.5715
28/07/2022 6:00,15.40,67.20,93.00,8.89,1,0.735,0.030,268.8097
28/07/2022 6:30,16.00,65.33,94.00,10.00,1,0.756,0.030,263.3549
28/07/2022 7:00,19.67,59.00,88.00,11.11,1,0.769,0.030,247.7399
28/07/2022 7:30,20.33,52.17,88.00,12.22,1,0.780,0.030,245.3764
28/07/2022 8:00,19.50,51.50,82.00,12.78,1,0.792,0.030,230.3114
28/07/2022 8:30,20.00,46.33,67.00,15.00,1,0.807,0.029,67.3710
28/07/2022 9:00,21.40,40.60,59.00,16.11,1,0.800,0.029,43.9496
28/07/2022 9:30,22.50,32.50,55.00,17.22,1,0.784,0.030,24.7597
28/07/2022 10:00,25.00,26.83,52.00,17.78,1,0.774,0.029,40.3163
28/07/2022 10:30,26.67,17.33,52.00,17.22,1,0.772,0.029,56.0060
28/07/2022 11:00,38.00,8.67,49.00,17.78,1,0.768,0.030,26.7782
28/07/2022 11:30,32.17,12.33,46.00,18.89,1,0.755,0.030,47.2280
28/07/2022 12:00,36.50,10.00,46.00,18.89,1,0.769,0.030,50.1020
28/07/2022 12:30,40.00,8.20,46.00,18.89,1,0.771,0.030,52.3889
28/07/2022 13:00,38.50,7.50,46.00,20.00,1,0.777,0.029,49.3604
28/07/2022 13:30,39.33,7.33,46.00,18.89,1,0.778,0.030,51.6545
28/07/2022 14:00,39.00,7.40,40.00,21.11,1,0.780,0.030,39.6296
28/07/2022 14:30,39.50,7.33,43.00,21.11,1,0.790,0.030,41.5369
28/07/2022 15:00,42.00,5.50,40.00,21.11,1,0.796,0.030,39.5847
28/07/2022 15:30,38.17,8.17,40.00,21.11,1,0.812,0.030,40.4624
28/07/2022 16:00,26.60,15.20,43.00,21.11,1,0.807,0.030,51.2577
28/07/2022 16:30,23.33,21.17,43.00,21.11,1,0.810,0.030,55.2236
28/07/2022 17:00,21.50,32.00,43.00,21.11,1,0.811,0.030,44.9601
28/07/2022 17:30,21.00,42.00,43.00,21.11,1,0.808,0.029,42.2305
28/07/2022 18:00,19.00,52.33,43.00,21.11,0,0.809,0.033,-66.6578
28/07/2022 18:30,18.80,52.20,43.00,21.11,0,0.808,0.030,-72.3988
28/07/2022 19:00,17.00,53.67,43.00,21.11,0,0.807,0.029,-71.7904
28/07/2022 19:30,17.50,56.67,46.00,20.00,0,0.813,0.029,-133.9628
28/07/2022 20:00,18.50,60.50,46.00,20.00,0,0.802,0.029,-297.0689
28/07/2022 20:30,18.83,63.17,49.00,18.89,0,0.806,0.029,-205.6655
28/07/2022 21:00,16.50,64.83,52.00,17.78,0,0.802,0.029,-210.1960
28/07/2022 21:30,15.83,66.17,55.00,17.22,0,0.792,0.030,-224.6091
28/07/2022 22:00,14.20,68.40,55.00,17.22,0,0.784,0.029,-308.9378
28/07/2022 22:30,14.00,69.00,63.00,16.11,0,0.787,0.030,-300.8387
28/07/2022 23:00,14.00,69.33,67.00,15.00,0,0.779,0.029,-280.2564
28/07/2022 23:30,14.00,69.83,67.00,15.00,0,0.774,0.030,-273.3700
29/07/2022 0:00,13.67,69.83,67.00,15.00,0,0.770,0.029,-288.9779
29/07/2022 0:30,13.33,69.83,67.00,15.00,0,0.763,0.029,-120.9985
29/07/2022 1:00,13.50,70.00,72.00,13.89,0,0.771,0.029,-117.6313
29/07/2022 1:30,13.00,70.00,72.00,13.89,0,0.771,0.030,-117.3933
29/07/2022 2:00,13.00,69.83,72.00,13.89,0,0.770,0.030,-117.2011
29/07/2022 2:30,13.50,69.33,72.00,13.89,0,0.778,0.030,-107.5484
29/07/2022 3:00,13.67,69.00,72.00,13.89,0,0.791,0.030,-109.8915
29/07/2022 3:30,13.50,69.17,77.00,12.78,0,0.797,0.029,-93.9491
29/07/2022 4:00,14.00,69.50,72.00,12.78,1,0.805,0.029,58.7411
29/07/2022 4:30,14.00,69.00,72.00,12.78,1,0.809,0.030,82.3255
29/07/2022 5:00,14.17,68.67,67.00,13.89,1,0.815,0.030,76.1278
29/07/2022 5:30,14.83,68.33,67.00,13.89,1,0.819,0.030,76.7073
29/07/2022 6:00,15.00,68.00,72.00,13.89,1,0.823,0.030,77.3222
29/07/2022 6:30,16.00,66.67,72.00,13.89,1,0.818,0.029,101.7887
29/07/2022 7:00,17.00,65.00,72.00,13.89,1,0.823,0.029,99.4946
29/07/2022 7:30,17.50,64.50,67.00,15.00,1,0.825,0.030,94.9767
29/07/2022 8:00,18.20,63.80,72.00,15.00,1,0.809,0.030,101.3751
29/07/2022 8:30,20.00,60.33,68.00,16.11,1,0.815,0.029,98.1690
29/07/2022 9:00,21.50,52.17,63.00,17.22,1,0.807,0.030,95.6028
