Time,Temperature,Humidity,Humidity_WeatherStation,Temperature_WeatherStation,Label,Feature Extraction Time (ms),Testing Time (ms),Score
27/07/2022 13:00,36.50,8.83,49.00,18.89,1,0.066,0.481,0.5064
27/07/2022 13:30,36.50,8.83,49.00,18.89,1,0.034,0.164,0.5064
27/07/2022 14:00,33.33,11.67,56.00,17.78,0,0.038,0.168,0.3064
27/07/2022 14:30,33.33,11.83,49.00,18.89,0,0.058,0.245,0.3064
27/07/2022 15:00,33.50,11.17,43.00,20.00,0,0.038,0.164,0.4064
27/07/2022 15:30,26.83,16.33,43.00,20.00,0,0.035,0.203,0.2138
27/07/2022 16:00,22.50,33.50,49.00,20.00,0,0.066,0.521,0.1067
27/07/2022 16:30,20.40,41.60,52.00,18.89,0,0.034,0.291,0.1586
27/07/2022 17:00,19.00,48.00,49.00,18.89,1,0.038,0.262,0.8000
27/07/2022 17:30,17.33,51.33,52.00,18.89,1,0.034,0.214,0.8000
27/07/2022 18:00,16.50,54.00,52.00,18.89,1,0.039,0.195,0.9000
27/07/2022 18:30,15.83,57.17,49.00,18.89,1,0.035,0.186,0.9000
27/07/2022 19:00,18.00,63.67,52.00,17.78,1,0.039,0.198,0.9000
27/07/2022 19:30,18.33,63.17,52.00,17.22,1,0.034,0.193,0.9000
27/07/2022 20:00,17.20,64.60,52.00,17.22,1,1.947,1.031,0.9500
27/07/2022 20:30,14.17,67.17,59.00,16.11,1,1.904,0.484,1.0000
27/07/2022 21:00,13.00,68.83,59.00,16.11,1,1.910,0.508,1.0000
27/07/2022 21:30,13.00,69.83,63.00,15.00,1,1.906,0.477,1.0000
27/07/2022 22:00,12.33,71.17,59.00,15.00,1,1.910,0.504,1.0000
27/07/2022 22:30,13.67,70.00,72.00,12.22,1,1.902,0.477,1.0000
27/07/2022 23:00,13.00,71.00,77.00,12.22,1,1.905,0.504,1.0000
27/07/2022 23:30,11.83,74.67,76.00,11.11,1,1.909,0.483,1.0000
28/07/2022 0:00,11.00,76.00,87.00,10.00,1,1.912,0.505,0.9500
28/07/2022 0:30,11.00,77.00,87.00,10.00,1,1.902,0.491,0.9500
28/07/2022 1:00,11.17,77.17,82.00,11.11,1,1.914,0.501,1.0000
28/07/2022 1:30,11.67,76.17,87.00,10.00,1,1.916,0.477,0.9500
28/07/2022 2:00,11.00,77.83,93.00,8.89,1,1.913,0.501,0.9500
28/07/2022 2:30,12.40,76.80,93.00,8.89,1,1.915,0.486,0.9500
28/07/2022 3:00,12.50,77.17,100.00,7.78,1,1.918,0.500,0.9500
28/07/2022 3:30,12.33,76.17,93.00,8.89,1,1.912,0.480,0.9500
28/07/2022 4:00,13.00,74.33,93.00,7.78,1,1.909,0.501,0.9500
28/07/2022 4:30,13.00,74.00,100.00,7.78,1,1.910,0.480,0.9500
28/07/2022 5:00,14.00,71.83,93.00,7.78,1,1.907,0.501,0.9500
28/07/2022 5:30,14.67,68.00,93.00,8.89,1,1.907,0.480,0.9500
28/07/2022 6:00,15.40,67.20,93.00,8.89,1,1.904,0.500,0.9500
28/07/2022 6:30,16.00,65.33,94.00,10.00,1,1.904,0.477,0.9500
28/07/2022 7:00,19.67,59.00,88.00,11.11,1,1.910,0.497,0.9500
28/07/2022 7:30,20.33,52.17,88.00,12.22,1,1.905,0.478,0.9500
28/07/2022 8:00,19.50,51.50,82.00,12.78,1,1.906,0.497,0.9500
28/07/2022 8:30,20.00,46.33,67.00,15.00,1,1.904,0.477,0.9500
28/07/2022 9:00,21.40,40.60,59.00,16.11,1,1.898,0.529,0.9500
28/07/2022 9:30,22.50,32.50,55.00,17.22,1,1.917,0.526,0.9333
28/07/2022 10:00,25.00,26.83,52.00,17.78,1,1.923,0.546,0.7515
28/07/2022 10:30,26.67,17.33,52.00,17.22,1,1.917,0.543,0.8000
28/07/2022 11:00,38.00,8.67,49.00,17.78,1,1.914,0.490,1.0000
28/07/2022 11:30,32.17,12.33,46.00,18.89,1,1.892,0.486,1.0000
28/07/2022 12:00,36.50,10.00,46.00,18.89,1,1.904,0.536,1.0000
28/07/2022 12:30,40.00,8.20,46.00,18.89,1,1.887,0.535,1.0000
28/07/2022 13:00,38.50,7.50,46.00,20.00,1,1.902,0.602,0.8008
28/07/2022 13:30,39.33,7.33,46.00,18.89,1,1.880,0.567,0.7008
28/07/2022 14:00,39.00,7.40,40.00,21.11,1,1.896,0.588,0.5512
28/07/2022 14:30,39.50,7.33,43.00,21.11,1,1.881,0.562,0.5028
28/07/2022 15:00,42.00,5.50,40.00,21.11,0,1.896,0.581,0.4533
